"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__Umbelopsis dimorpha"
"OTU2","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium oxysporum"
"OTU3","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU4","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__Saitozyma podzolica"
"OTU5","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon",NA
"OTU6","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU7","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Cryptococcus","s__Cryptococcus neoformans"
"OTU8","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae","g__Clavulina",NA
"OTU9","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","s__Solicoccozyma phenolica"
"OTU10","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella humilis"
"OTU11","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella elongata"
"OTU12","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU13","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU14","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae",NA,NA
"OTU15","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__Geastrum xerophilum"
"OTU16","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"OTU17","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"OTU18","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__","g__Candida",NA
"OTU19","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU20","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU21","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Amanitaceae","g__Amanita","s__Amanita luteolovelata"
"OTU22","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU23","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU24","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU25","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Tylosporaceae","g__Amphinema",NA
"OTU26","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"OTU27","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU28","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU29","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU30","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Rickenella",NA
"OTU31","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Tricholoma",NA
"OTU32","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","s__Entoloma kermandii"
"OTU33","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU34","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU35","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__Clavaria redoleoalii"
"OTU36","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae","g__Clavulina",NA
"OTU37","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU38","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"OTU39","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe fulvilubrica"
"OTU40","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales",NA,NA,NA
"OTU41","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella alpina"
"OTU42","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae",NA,NA
"OTU43","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__","f__Chrysozymaceae","g__Udeniozyma",NA
"OTU44","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU45","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU46","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU47","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU48","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU49","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycena",NA
"OTU50","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU51","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU52","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU53","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae",NA,NA
"OTU54","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Pisolithaceae","g__Pisolithus","s__Pisolithus marmoratus"
"OTU55","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU56","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"OTU57","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__","g__Nadsonia","s__Nadsonia starkeyi-henricii"
"OTU58","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"OTU59","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU60","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU61","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU62","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe eburnea"
"OTU63","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU64","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudeurotium","s__Pseudeurotium bakeri"
"OTU65","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Ruhlandiella",NA
"OTU66","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactifluus","s__Lactifluus clarkeae"
"OTU67","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU68","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU69","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU70","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU71","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hydnangiaceae",NA,NA
"OTU72","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU73","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU74","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU75","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU76","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU77","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae",NA,NA
"OTU78","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes",NA,NA,NA,NA
"OTU79","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina",NA
"OTU80","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidales","f__Gloniaceae","g__Cenococcum",NA
"OTU81","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales",NA,NA,NA
"OTU82","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium",NA
"OTU83","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina",NA
"OTU84","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU85","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU87","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis",NA
"OTU88","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,NA
"OTU89","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Clonostachys","s__Clonostachys candelabrum"
"OTU90","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU92","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU93","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Aureobasidiaceae","g__Aureobasidium","s__Aureobasidium leucospermi"
"OTU94","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU95","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU96","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Geomyces",NA
"OTU97","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes",NA,NA,NA,NA
"OTU98","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU99","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU100","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron",NA
"OTU101","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Ruhlandiella",NA
"OTU102","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU103","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU104","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes",NA,NA,NA,NA
"OTU105","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Hodophilus",NA
"OTU106","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU107","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Echria",NA
"OTU108","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__Umbelopsis autotrophica"
"OTU109","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"OTU110","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Holocotylon","s__Holocotylon brandegeeanum"
"OTU111","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","s__Solicoccozyma terricola"
"OTU112","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae",NA,NA
"OTU113","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales",NA,NA,NA
"OTU114","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA
"OTU115","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU116","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae",NA,NA
"OTU117","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__","g__Sesquicillium","s__Sesquicillium microsporum"
"OTU118","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU119","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe australiensis"
"OTU120","k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Hoehnelomycetaceae",NA,NA
"OTU121","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU122","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Endocarpon",NA
"OTU123","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"OTU124","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU125","k__Fungi","p__Mucoromycota",NA,NA,NA,NA,NA
"OTU127","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"OTU128","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU129","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia",NA
"OTU130","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"OTU131","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU132","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU133","k__Fungi","p__Mucoromycota",NA,NA,NA,NA,NA
"OTU135","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__Exophiala equina"
"OTU136","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Geminibasidium",NA
"OTU137","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavulinopsis",NA
"OTU138","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU139","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU140","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU141","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU142","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU143","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactifluus","s__Lactifluus clarkeae"
"OTU144","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU145","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU146","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"OTU148","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Hygrocybe","s__Hygrocybe purpureofolia"
"OTU149","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"OTU150","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hydnangiaceae","g__Laccaria",NA
"OTU151","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes",NA,NA,NA,NA
"OTU153","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Hodophilus",NA
"OTU154","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU155","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU156","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae",NA,NA
"OTU157","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"OTU158","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"OTU159","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU160","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes",NA,NA,NA,NA
"OTU161","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe acaciae"
"OTU162","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU163","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU164","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Ruhlandiella",NA
"OTU165","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU166","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Porpoloma",NA
"OTU167","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__Epicoccum sorghinum"
"OTU168","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Rasamsonia","s__Rasamsonia eburnea"
"OTU169","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Calyptrozyma",NA
"OTU170","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Hyaloscypha",NA
"OTU172","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae",NA,NA
"OTU173","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","g__Hygrocybe","s__Hygrocybe ingrata"
"OTU174","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Sagenomella","s__Sagenomella diversispora"
"OTU175","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU176","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU177","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Ramariopsis",NA
"OTU178","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU179","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU180","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"OTU181","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Vaginatispora","s__Vaginatispora fuckelii"
"OTU182","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU183","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"OTU184","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU185","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella longicollis"
"OTU186","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU187","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula","s__Russula acrolamellata"
"OTU188","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU189","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Phialea",NA
"OTU190","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU191","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"OTU192","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU193","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Auxarthron","s__Auxarthron umbrinum"
"OTU194","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"OTU195","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU196","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU197","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Tricholoma",NA
"OTU198","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","g__Dinemasporium","s__Dinemasporium morbidum"
"OTU199","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Moreaua","s__Moreaua mauritiana"
"OTU200","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU201","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Tetragoniomycetaceae","g__Cryptotrichosporon",NA
"OTU203","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU204","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU205","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU206","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU207","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Pidoplitchkoviella","s__Pidoplitchkoviella terricola"
"OTU208","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,NA
"OTU209","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU210","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__Metarhizium frigidum"
"OTU211","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Apiotrichum",NA
"OTU212","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU213","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales",NA,NA,NA
"OTU214","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Roseodiscus","s__Roseodiscus subcarneus"
"OTU215","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU216","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU217","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"OTU218","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU219","k__Fungi","p__","c__","o__","f__","g__","s__"
"OTU220","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae",NA,NA
"OTU221","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU222","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis",NA
"OTU223","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU224","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina",NA
"OTU225","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__Coniochaeta mutabilis"
"OTU226","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"OTU227","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"OTU228","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella lignicola"
"OTU229","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU230","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Spencermartinsiella",NA
"OTU231","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"OTU232","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Gomphales","f__Gomphaceae","g__Ramaria",NA
"OTU233","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"OTU234","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU235","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__","g__Leohumicola",NA
"OTU236","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae",NA,NA
"OTU237","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
