"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU471","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU472","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU478","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU480","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU486","Bacteria","","","","","",""
"OTU491","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales",NA,NA,NA
"OTU495","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU506","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"OTU510","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Geodermatophilus",NA
"OTU513","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU514","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU516","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU518","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"OTU519","Bacteria","Acidobacteria","Acidobacteria_Gp3","","","Candidatus_Solibacter",NA
"OTU521","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU523","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU524","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU532","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"OTU533","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU534","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU544","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU545","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU547","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"OTU553","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU557","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU567","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"OTU571","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU573","Bacteria","Actinobacteria",NA,NA,NA,NA,NA
"OTU576","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU579","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU585","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU589","Bacteria","Acidobacteria","Acidobacteria_Gp2","","","Gp2",NA
"OTU597","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU599","Bacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",NA
"OTU602","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"OTU604","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU605","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU609","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU610","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU615","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU617","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU618","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU632","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU634","Bacteria","Acidobacteria","Acidobacteria_Gp2","","","Gp2",NA
"OTU636","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU640","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU643","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU649","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU654","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU655","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU659","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA
"OTU660","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA
"OTU668","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella",NA
"OTU669","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU671","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
